"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"10669179010497","36857992010497","13005241000666","",1995,2,1,100,2368,1,,1995,7,26,,1,601,,,58.666345,-135.254927,1300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669232010497","36857992010497","13005241000666","",1995,2,1,100,3176,1,,1995,7,10,,1,601,,,58.487353,-135.183567,700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669274010497","36857992010497","13005241000666","",1995,2,1,100,6696,2,,1995,7,10,,1,601,,,58.350251,-135.180147,2100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,1,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669140010497","36857992010497","13005241000666","",1995,2,1,100,7193,1,,1995,7,25,,1,601,,,58.802779,-135.267382,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669180010497","36857992010497","13005241000666","",1995,2,1,100,9005,1,,1995,7,27,,1,601,,,58.654928,-135.170196,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669217010497","36857992010497","13005241000666","",1995,2,1,100,11786,1,,1995,7,9,,1,601,,,58.542312,-135.32906,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669207010497","36857992010497","13005241000666","",1995,2,1,100,12052,2,,1995,7,9,,1,601,,,58.587153,-135.31659,2900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10669218010497","36857992010497","13005241000666","",1995,2,1,100,17656,2,,1995,7,9,,1,601,,,58.536352,-135.238193,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669295010497","36857992010497","13005241000666","",1995,2,1,100,18026,1,,1995,7,11,,1,601,,,58.2672,-135.211673,1300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669165010497","36857992010497","13005241000666","",1995,2,1,100,22577,2,,1995,7,28,,1,601,,,58.722281,-135.300837,2500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669246010497","36857992010497","13005241000666","",1995,2,1,100,26857,2,,1995,7,10,,1,601,,,58.424913,-135.136513,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10669289010497","36857992010497","13005241000666","",1995,2,1,100,27096,1,,1995,7,11,,1,601,,,58.301277,-135.200674,700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669290010497","36857992010497","13005241000666","",1995,2,1,100,29255,1,,1995,7,6,,1,601,,,58.292709,-135.130818,700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669208010497","36857992010497","13005241000666","",1995,2,1,100,29407,1,,1995,7,9,,1,601,,,58.560502,-135.20728,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669177010497","36857992010497","13005241000666","",1995,2,1,100,29861,2,,1995,7,28,,1,601,,,58.694086,-135.413588,2500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669294010497","36857992010497","13005241000666","",1995,2,1,100,32927,1,,1995,7,11,,1,601,,,58.277499,-135.289144,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669193010497","36857992010497","13005241000666","",1995,2,1,100,36960,2,,1995,7,28,,1,601,,,58.641983,-135.370789,1500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669273010497","36857992010497","13005241000666","",1995,2,1,100,39980,2,,1995,7,28,,1,601,,,58.355615,-135.264777,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669178010497","36857992010497","13005241000666","",1995,2,1,100,41287,1,,1995,7,26,,1,601,,,58.681259,-135.334746,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669194010497","36857992010497","13005241000666","",1995,2,1,100,44771,1,,1995,7,27,,1,601,,,58.622465,-135.280324,700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669258010497","36857992010497","13005241000666","",1995,2,1,100,46677,1,,1995,7,10,,1,601,,,58.371987,-135.07333,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669254010497","36857992010497","13005241000666","",1995,2,1,100,49739,3,3,1995,7,13,,1,601,,,58.427218,-135.389435,900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,1,,"2",1,0,"S27LAK1A","",,,,,,,,
"10669255010497","36857992010497","13005241000666","",1995,2,1,100,49815,2,,1995,7,13,,1,601,,,58.408605,-135.328499,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669271010497","36857992010497","13005241000666","",1995,2,1,100,50762,1,,1995,7,12,,1,601,,,58.37905,-135.424015,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669231010497","36857992010497","13005241000666","",1995,2,1,100,54469,2,,1995,7,28,,1,601,,,58.496213,-135.266169,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669288010497","36857992010497","13005241000666","",1995,2,1,100,55518,2,,1995,7,13,,1,601,,,58.317032,-135.27538,2100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669296010497","36857992010497","13005241000666","",1995,2,1,100,55742,1,,1995,7,6,,1,601,,,58.24567,-135.148695,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669219010497","36857992010497","13005241000666","",1995,2,1,100,55847,1,,1995,7,9,,1,601,,,58.516646,-135.156138,500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669275010497","36857992010497","13005241000666","",1995,2,1,100,57950,1,,1995,7,6,,1,601,,,58.336918,-135.10881,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669257010497","36857992010497","13005241000666","",1995,2,1,100,59597,2,,1995,7,28,,1,601,,,58.38295,-135.153792,2100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,1,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669124010497","36857992010497","13005241000666","",1995,2,1,100,62183,1,,1995,7,25,,1,601,,,58.863339,-135.311455,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669247010497","36857992010497","13005242000666","",1995,2,1,110,1422,1,,1995,7,8,,1,601,,,58.383158,-134.803945,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10669233010497","36857992010497","13005242000666","",1995,2,1,110,4659,1,,1995,7,8,,1,601,,,58.436503,-134.87291,700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669279010497","36857992010497","13005242000666","",1995,2,1,110,7367,1,,1995,7,31,,1,601,,,58.261574,-134.614342,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669166010497","36857992010497","13005242000666","",1995,2,1,110,11261,1,,1995,7,29,,1,601,,,58.655943,-134.81966,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669184010497","36857992010497","13005242000666","",1995,2,1,110,13682,2,,1995,7,29,,1,601,,,58.583508,-134.700123,2500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669222010497","36857992010497","13005242000666","",1995,2,1,110,13880,1,,1995,7,29,,1,601,,,58.445603,-134.680842,1500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669142010497","36857992010497","13005242000666","",1995,2,1,110,16357,2,,1995,7,29,,1,601,,,58.752944,-134.867507,3900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,1,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669283010497","36857992010497","13005242000666","",1995,2,1,110,17061,1,,1995,8,2,,1,601,,,58.217722,-134.316676,1900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10669209010497","36857992010497","13005242000666","",1995,2,1,110,18582,1,,1995,7,31,,1,601,,,58.494717,-134.740835,700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669237010497","36857992010497","13005242000666","",1995,2,1,110,18872,1,,1995,8,3,,1,601,,,58.37666,-134.472877,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669183010497","36857992010497","13005242000666","",1995,2,1,110,19272,2,,1995,7,29,,1,601,,,58.597989,-134.777896,2500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669282010497","36857992010497","13005242000666","",1995,2,1,110,19918,1,,1995,8,2,,1,601,,,58.22629,-134.382446,1100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669181010497","36857992010497","13005242000666","",1995,2,1,110,21098,1,,1995,7,27,,1,601,,,58.623475,-134.95057,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669126010497","36857992010497","13005242000666","",1995,2,1,110,24792,1,,1995,7,25,,1,601,,,58.815574,-135.008807,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669125010497","36857992010497","13005242000666","",1995,2,1,110,27828,1,,1995,7,25,,1,601,,,58.820445,-135.075423,1500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669153010497","36857992010497","13005242000666","",1995,2,1,110,29644,1,,1995,7,30,,1,601,,,58.703995,-134.881818,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669221010497","36857992010497","13005242000666","",1995,2,1,110,34669,1,,1995,8,1,,1,601,,,58.458162,-134.783845,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669220010497","36857992010497","13005242000666","",1995,2,1,110,39216,1,,1995,7,30,,1,601,,,58.494773,-135.019327,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669225010497","36857992010497","13005242000666","",1995,2,1,110,41193,2,,1995,8,1,,1,601,,,58.417343,-134.441758,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669236010497","36857992010497","13005242000666","",1995,2,1,110,44475,1,,1995,8,3,,1,601,,,58.388389,-134.557576,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669182010497","36857992010497","13005242000666","",1995,2,1,110,50296,1,,1995,7,30,,1,601,,,58.606755,-134.856582,500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669264010497","36857992010497","13005242000666","",1995,2,1,110,52237,1,,1995,8,3,,1,601,,,58.25848,-134.361589,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669280010497","36857992010497","13005242000666","",1995,2,1,110,52524,1,,1995,8,2,,1,601,,,58.255876,-134.553374,1100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669223010497","36857992010497","13005242000666","",1995,2,1,110,56483,1,,1995,8,1,,1,601,,,58.432067,-134.616811,1900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669262010497","36857992010497","13005242000666","",1995,2,1,110,57506,1,,1995,8,1,,1,601,,,58.300683,-134.524134,1100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669195010497","36857992010497","13005242000666","",1995,2,1,110,58264,1,,1995,7,30,,1,601,,,58.552594,-134.812101,1500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669141010497","36857992010497","13005242000666","",1995,2,1,110,58837,1,,1995,7,26,,1,601,,,58.763895,-135.035443,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669196010497","36857992010497","13005242000666","",1995,2,1,110,59089,1,,1995,7,29,,1,601,,,58.550714,-134.730851,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669234010497","36857992010497","13005242000666","",1995,2,1,110,59675,1,,1995,7,8,,1,601,,,58.410386,-134.709315,1100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669281010497","36857992010497","13005242000666","",1995,2,1,110,63072,1,,1995,8,2,,1,601,,,58.231447,-134.467749,500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10669210010497","36857992010497","13005242000666","",1995,2,1,110,63387,2,,1995,7,29,,1,601,,,58.486499,-134.682441,3500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10671074010497","36857992010497","13005252000666","",1995,2,1,220,139,1,,1995,6,23,,1,601,,,57.729599,-134.95637,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671119010497","36857992010497","13005252000666","",1995,2,1,220,940,1,,1995,6,25,,1,601,,,57.582665,-135.177469,1300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671115010497","36857992010497","13005252000666","",1995,2,1,220,1382,1,,1995,9,4,,1,601,,,57.658853,-135.627556,1100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671073010497","36857992010497","13005252000666","",1995,2,1,220,1798,1,,1995,6,22,,1,601,,,57.741849,-135.003443,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671089010497","36857992010497","13005252000666","",1995,2,1,220,2200,1,,1995,6,29,,1,601,,,57.773413,-135.819325,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671087010497","36857992010497","13005252000666","",1995,2,1,220,2544,2,,1995,6,24,,1,601,,,57.688455,-135.024267,1300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671067010497","36857992010497","13005252000666","",1995,2,1,220,2590,1,,1995,6,18,,1,601,,,57.847056,-135.707607,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10671092010497","36857992010497","13005252000666","",1995,2,1,220,4232,1,,1995,6,29,,1,601,,,57.7411,-135.581325,1300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10671085010497","36857992010497","13005252000666","",1995,2,1,220,4760,1,,1995,6,20,,1,601,,,57.725167,-135.179734,300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671036010497","36857992010497","13005252000666","",1995,2,1,220,4910,2,,1995,9,4,,1,601,,,57.967922,-135.898234,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671099010497","36857992010497","13005252000666","",1995,2,1,220,4963,1,,1995,6,24,,1,601,,,57.648012,-135.054143,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671068010497","36857992010497","13005252000666","",1995,2,1,220,6030,1,,1995,6,17,,1,601,,,57.836552,-135.641181,1900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671117010497","36857992010497","13005252000666","",1995,2,1,220,7086,1,,1995,6,26,,1,601,,,57.612166,-135.332832,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671056010497","36857992010497","13005252000666","",1995,2,1,220,7162,1,,1995,6,16,,1,601,,,57.875269,-135.600909,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671055010497","36857992010497","13005252000666","",1995,2,1,220,7686,2,,1995,6,18,,1,601,,,57.880864,-135.694278,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671064010497","36857992010497","13005252000666","",1995,2,1,220,9306,2,,1995,9,5,,1,601,,,57.883405,-135.933511,2300,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"2",1,0,"S27LAK1A","",,,,,,,,
"10671088010497","36857992010497","13005252000666","",1995,2,1,220,9641,1,,1995,6,22,,1,601,,,57.688698,-134.959068,1100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671094010497","36857992010497","13005252000666","",1995,2,1,220,10483,1,,1995,6,28,,1,601,,,57.711292,-135.432206,1900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671053010497","36857992010497","13005252000666","",1995,2,1,220,10545,1,,1995,6,19,,1,601,,,57.916223,-135.844586,1700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671121010497","36857992010497","13005252000666","",1995,2,1,220,15839,1,,1995,6,25,,1,601,,,57.559059,-135.022314,100,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671071010497","36857992010497","13005252000666","",1995,2,1,220,16225,1,,1995,6,14,,1,601,,,57.794053,-135.405054,700,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671077010497","36857992010497","13005252000666","",1995,2,1,220,16931,2,,1995,6,30,,1,601,,,57.834144,-135.89135,1500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671093010497","36857992010497","13005252000666","",1995,2,1,220,20527,1,,1995,6,28,,1,601,,,57.723091,-135.521418,900,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
"10671080010497","36857992010497","13005252000666","",1995,2,1,220,20816,1,,1995,6,17,,1,601,,,57.784576,-135.647606,1500,,,,,"",200,.9,,,1,"",2011-01-12,"10497","",2015-07-24,"489998","CENTER",0,,1,4,,"1",1,0,"S27LAK1A","",,,,,,,,
