"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"200556906020004","195829181020004",2001,60,1,10,1001,1,1,,0,46,40,,,987,987,1,40,1,2,6,,,,0,,"SUBP",.75,.75,.75,,48,121,,2,2,0,,,,,,0,,,,,,,169.5366,40,72.2136,72.2136,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2013-08-23,"20004","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"200556905020004","195829181020004",2001,60,1,10,1001,2,1,,0,46,40,,,989,989,1,,2,0,6,,,,0,,"SUBP",.25,.25,.25,,37,354,,4,4,10,2000,0,,,,0,,,,,,,42.9238,0,32.7719,32.7719,989,"","","","","","","","S26LPI",6,,6,,,,,,,"",2013-08-23,"20004","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"200556907020004","195829211020004",2001,60,1,10,1002,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2013-07-25,"20004","",2014-12-03,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"200556904020004","195829210020004",2001,60,1,10,1003,1,1,,0,46,40,,,987,987,1,40,2,2,6,,,,0,,"SUBP",.25,.25,.25,,60,350,,3,3,0,,,,,,0,,,,,,,68.6691,40,47.395,47.395,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2013-07-25,"20004","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"200556902020004","195829210020004",2001,60,1,10,1003,2,1,,0,46,40,,,987,987,1,60,1,3,6,,,,0,,"SUBP",.25,.25,.25,,50,235,,3,3,0,,,,,,0,,,,,,,117.8823,60,59.8879,59.8879,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2013-07-25,"20004","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"200556903020004","195829210020004",2001,60,1,10,1003,3,5,3,0,46,40,,,,,,,,,,,,,,,"SUBP",.5,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2013-07-25,"20004","",2014-12-03,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"200556901020004","195829173020004",2001,60,1,10,1004,1,4,,0,31,30,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2013-07-25,"20004","",2014-12-03,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"200556910020004","195829203020004",2001,60,1,10,1005,1,5,8,1,21,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-01-06,"20004","",2014-12-03,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"200556909020004","195829182020004",2001,60,1,10,1006,1,1,,0,46,40,,,989,989,1,10,1,3,6,,,,0,,"SUBP",.915728,1,.915728,,50,162,,3,3,0,,,,,,0,,,,,,,92.2565,10,50.1813,50.1813,989,"","","","","","","","S26LPI",6,,6,,,,,,,"",2013-07-25,"20004","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"200556908020004","195829182020004",2001,60,1,10,1006,2,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.084272,0,.084272,,,,,,,,,,,,,,,,,,,32,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2013-07-25,"20004","",2014-12-03,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
