"CN","PLT_CN","PREV_TRE_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","TREE","CONDID","AZIMUTH","DIST","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIAHTCD","HT","HTCD","ACTUALHT","TREECLCD","CR","CCLCD","TREEGRCD","AGENTCD","CULL","DAMLOC1","DAMTYP1","DAMSEV1","DAMLOC2","DAMTYP2","DAMSEV2","DECAYCD","STOCKING","WDLDSTEM","VOLCFNET","VOLCFGRS","VOLCSNET","VOLCSGRS","VOLBFNET","VOLBFGRS","VOLCFSND","GROWCFGS","GROWBFSL","GROWCFAL","MORTCFGS","MORTBFSL","MORTCFAL","REMVCFGS","REMVBFSL","REMVCFAL","DIACHECK","MORTYR","SALVCD","UNCRCD","CPOSCD","CLIGHTCD","CVIGORCD","CDENCD","CDIEBKCD","TRANSCD","TREEHISTCD","DIACALC","BHAGE","TOTAGE","CULLDEAD","CULLFORM","CULLMSTOP","CULLBF","CULLCF","BFSND","CFSND","SAWHT","BOLEHT","FORMCL","HTCALC","HRDWD_CLUMP_CD","SITREE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MORTCD","HTDMP","ROUGHCULL","MIST_CL_CD","CULL_FLD","RECONCILECD","PREVDIA","FGROWCFGS","FGROWBFSL","FGROWCFAL","FMORTCFGS","FMORTBFSL","FMORTCFAL","FREMVCFGS","FREMVBFSL","FREMVCFAL","P2A_GRM_FLG","TREECLCD_NERS","TREECLCD_SRS","TREECLCD_NCRS","TREECLCD_RMRS","STANDING_DEAD_CD","PREV_STATUS_CD","PREV_WDLDSTEM","TPA_UNADJ","TPAMORT_UNADJ","TPAREMV_UNADJ","TPAGROW_UNADJ","DRYBIO_BOLE","DRYBIO_TOP","DRYBIO_STUMP","DRYBIO_SAPLING","DRYBIO_WDLD_SPP","DRYBIO_BG","CARBON_AG","CARBON_BG","CYCLE","SUBCYCLE","BORED_CD_PNWRS","DAMLOC1_PNWRS","DAMLOC2_PNWRS","DIACHECK_PNWRS","DMG_AGENT1_CD_PNWRS","DMG_AGENT2_CD_PNWRS","DMG_AGENT3_CD_PNWRS","MIST_CL_CD_PNWRS","SEVERITY1_CD_PNWRS","SEVERITY1A_CD_PNWRS","SEVERITY1B_CD_PNWRS","SEVERITY2_CD_PNWRS","SEVERITY2A_CD_PNWRS","SEVERITY2B_CD_PNWRS","SEVERITY3_CD_PNWRS","UNKNOWN_DAMTYP1_PNWRS","UNKNOWN_DAMTYP2_PNWRS","PREV_PNTN_SRS","DISEASE_SRS","DIEBACK_SEVERITY_SRS","DAMAGE_AGENT_CD1","DAMAGE_AGENT_CD2","DAMAGE_AGENT_CD3","CENTROID_DIA","CENTROID_DIA_HT","CENTROID_DIA_HT_ACTUAL","UPPER_DIA","UPPER_DIA_HT","VOLCSSND","DRYBIO_SAWLOG"
"201063137020004","195829181020004","",2001,60,1,10,1001,1,13,1,122,12.2,,1,7619,54,5.3,1,47,1,47,2,40,3,,,,0,,,0,,,,1.1374,,1.179182,1.179182,,,,,1.179182,,,,,,,,,,0,,,45,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,0,0,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,9,,
"201063134020004","195829181020004","",2001,60,1,10,1001,1,72,1,76,2.3,,1,6415,54,11.9,1,111,1,111,2,30,3,,,,0,,,0,,,,3.9205,,17.971159,17.971159,17.971159,17.971159,,,17.971159,,,,,,,,,,0,,,60,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,673.23044,167.769001,48.319933,,,171.928557,444.659687,85.964279,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,45,17.971159,673.23044
"201063127020004","195829181020004","",2001,60,1,10,1001,1,323,1,144,12.9,,1,6415,54,26.8,1,105,1,105,2,45,2,,,,0,,,0,,,,13.577,,36.358521,36.358521,36.358521,36.358521,,,36.358521,,,,,,,,,,0,,,50,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,1362.052559,228.119151,60.437287,,,313.678254,825.304499,156.839127,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,17,36.358521,1362.052559
"201063136020004","195829181020004","",2001,60,1,10,1001,1,346,1,228,16.1,,1,7906,54,7.6,1,40,1,40,2,20,3,,,,0,,,0,,,,1.9742,,2.941284,2.941284,,,,,2.941284,,,,,,,,,,0,,,70,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,0,0,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,13,,
"201063122020004","195829181020004","",2001,60,1,10,1001,1,354,1,222,16.7,,1,7906,54,7.5,1,34,1,34,2,40,3,,,,0,,,0,,,,1.9346,,2.446661,2.446661,,,,,2.446661,,,,,,,,,,0,,,50,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,0,0,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,10,,
"201063132020004","195829181020004","",2001,60,1,10,1001,1,954,1,262,18,,1,6370,54,8.1,1,64,1,64,2,25,3,,,,0,,,0,,,,2.1764,,7.853421,7.853421,,,,,7.853421,,,,,,,,,,0,,,30,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,294.202621,96.073691,27.38667,,,81.93828,208.831491,40.96914,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,36,,
"201063121020004","195829181020004","",2001,60,1,10,1001,2,70,2,30,6.7,,1,8469,54,5.1,1,32,1,32,2,25,4,,,,0,,,0,,,,1.6085,,.958517,.958517,,,,,.958517,,,,,,,,,,0,,,30,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,0,0,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,6,,
"201063123020004","195829181020004","",2001,60,1,10,1001,2,88,2,322,18.2,,1,7906,54,6.1,1,32,1,32,2,35,3,,,,0,,,0,,,,4.2309,,1.552438,1.552438,,,,,1.552438,,,,,,,,,,0,,,40,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,0,0,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,9,,
"201063140020004","195829181020004","",2001,60,1,10,1001,2,97,2,302,15.8,,1,6091,54,5.2,1,38,1,38,2,15,3,,,,0,,,0,,,,3.3141,,1.050688,1.050688,,,,,1.050688,,,,,,,,,,0,,,20,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,,,,,,,0,0,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,8,,
"201063130020004","195829181020004","",2001,60,1,10,1001,2,298,2,112,9.6,,1,6370,54,5.6,1,30,1,30,2,20,3,,,,0,,,0,,,,3.712,,2.110727,2.110727,,,,,2.110727,,,,,,,,,,0,,,20,,,,,,,,,,,,,,,,,,,,,,0,,"",2013-08-23,"20004","",2015-01-13,"489998",,4.5,,,0,,,,,,,,,,,,"",,,,,,,,6.018046,,,,79.071454,35.180763,9.750071,,,24.839422,62.001144,12.419711,2,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4,16,,
