"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"9165666010661","9165665010661","1320296010538","",1985,9,1,1,5,1,,1984,5,0,12,0,101,,,41.36121,-73.24956,,2,2,,," 221Ae",905,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165676010661","9165665010661","1320296010538","",1985,9,1,1,6,1,,1984,4,0,12,0,101,,,41.2501,-73.13844,,2,2,,," 221Ae",903,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165697010661","9165665010661","1320296010538","",1985,9,1,1,7,2,,1984,5,0,12,0,101,,,41.30565,-73.16622,,2,2,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165699010661","9165665010661","1320296010538","",1985,9,1,1,10,1,,1984,6,0,13,0,101,,,41.47232,-73.41623,,2,2,,," 221Ae",905,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165750010661","9165665010661","1320296010538","",1985,9,1,1,11,2,,1984,5,0,12,0,101,,,41.05565,-73.66624,,2,2,,," 221Ad",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165752010661","9165665010661","1320296010538","",1985,9,1,1,13,2,,1984,5,0,12,0,101,,,41.36121,-73.22178,,2,2,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165760010661","9165665010661","1320296010538","",1985,9,1,1,15,1,,1984,5,0,12,0,101,,,41.36121,-73.16622,,2,2,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165779010661","9165665010661","1320296010538","",1985,9,1,1,16,2,,1984,5,0,12,0,101,,,41.36121,-73.30512,,2,2,,," 221Ae",905,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165781010661","9165665010661","1320296010538","",1985,9,1,1,18,1,,1984,5,0,12,0,101,,,41.16676,-73.30512,,2,2,,," 221Ad",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165801010661","9165665010661","1320296010538","",1985,9,1,1,20,1,,1984,5,0,12,0,101,,,41.2501,-73.36067,,2,2,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165822010661","9165665010661","1320296010538","",1985,9,1,1,21,1,,1984,5,0,12,0,101,,,41.36121,-73.36067,,2,2,,," 221Ae",905,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165851010661","9165665010661","1320296010538","",1985,9,1,1,24,2,,1984,5,0,12,0,101,,,41.08343,-73.47179,,2,2,,," 221Ad",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165853010661","9165665010661","1320296010538","",1985,9,1,1,25,2,,1984,5,0,12,0,101,,,41.08343,-73.49957,,2,2,,," 221Ad",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165855010661","9165665010661","1320296010538","",1985,9,1,1,28,1,,1984,5,0,13,0,101,,,41.47232,-73.47179,,2,2,,," 221Ae",905,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165882010661","9165665010661","1320296010538","",1985,9,1,1,29,1,,1984,5,0,13,0,101,,,41.63898,-73.49957,,2,2,,," 221Ae",905,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165897010661","9165665010661","1320296010538","",1985,9,1,1,31,1,,1984,5,0,12,0,101,,,41.33343,-73.52735,,2,2,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165921010661","9165665010661","1320296010538","",1985,9,1,1,64,2,,1984,5,0,,0,101,,,41.08343,-73.7218,,,,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165923010661","9165665010661","1320296010538","",1985,9,1,1,65,1,,1984,4,0,,0,101,,,41.27787,-73.11066,,,,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165956010661","9165665010661","1320296010538","",1985,9,1,1,66,2,,1984,4,0,,0,101,,,41.27787,-73.13844,,,,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165958010661","9165665010661","1320296010538","",1985,9,1,1,67,2,,1984,5,0,,0,101,,,41.19454,-73.194,,,,,," 221Ad",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165960010661","9165665010661","1320296010538","",1985,9,1,1,68,2,,1984,5,0,,0,101,,,41.27787,-73.194,,,,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165962010661","9165665010661","1320296010538","",1985,9,1,1,69,2,,1984,5,0,,0,101,,,41.30565,-73.194,,,,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165964010661","9165665010661","1320296010538","",1985,9,1,1,70,2,,1984,5,0,,0,101,,,41.2501,-73.16622,,,,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165966010661","9165665010661","1320296010538","",1985,9,1,1,71,2,,1984,5,0,,0,101,,,41.16676,-73.22178,,,,,," 221Ad",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9165968010661","9165665010661","1320296010538","",1985,9,1,1,72,2,,1984,5,0,,0,101,,,41.30565,-73.22178,,,,,," 221Ae",904,0,,,,"",2003-09-26,"10661","",2015-11-12,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
