"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"9187278010661","9187277010661","1320304010538","",1986,10,1,1,1,1,,1987,1,0,16,0,101,,,38.94456,-75.61076,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187313010661","9187277010661","1320304010538","",1986,10,1,1,2,1,,1985,6,0,14,0,101,,,39.27789,-75.52742,,2,2,,," 232Ac",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187346010661","9187277010661","1320304010538","",1986,10,1,1,3,1,,1987,1,0,16,0,101,,,38.91678,-75.52742,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187385010661","9187277010661","1320304010538","",1986,10,1,1,4,1,,1985,9,0,15,0,101,,,39.00011,-75.6941,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187421010661","9187277010661","1320304010538","",1986,10,1,1,5,1,,1987,1,0,16,0,101,,,38.86122,-75.6941,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187451010661","9187277010661","1320304010538","",1986,10,1,1,6,1,,1985,9,0,15,0,101,,,39.41678,-75.66632,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187484010661","9187277010661","1320304010538","",1986,10,1,1,7,1,,1985,9,0,15,0,101,,,38.86122,-75.72187,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187525010661","9187277010661","1320304010538","",1986,10,1,1,8,1,,1985,9,0,15,0,101,,,38.91678,-75.72187,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187556010661","9187277010661","1320304010538","",1986,10,1,1,9,1,,1987,1,0,16,0,101,,,38.94456,-75.72187,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187603010661","9187277010661","1320304010538","",1986,10,1,1,11,1,,1985,6,0,14,0,101,,,39.02789,-75.72187,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187683010661","9187277010661","1320304010538","",1986,10,1,1,12,1,,1985,6,0,14,0,101,,,39.22233,-75.72188,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187721010661","9187277010661","1320304010538","",1986,10,1,1,13,2,,1985,10,0,15,0,101,,,38.889,-75.63854,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187723010661","9187277010661","1320304010538","",1986,10,1,1,14,1,,1985,6,0,14,0,101,,,39.11122,-75.61076,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187776010661","9187277010661","1320304010538","",1986,10,1,1,15,1,,1985,6,0,14,0,101,,,39.16678,-75.61076,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187817010661","9187277010661","1320304010538","",1986,10,1,1,16,1,,1985,6,0,14,0,101,,,39.19456,-75.61076,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187854010661","9187277010661","1320304010538","",1986,10,1,1,17,1,,1987,1,0,16,0,101,,,38.97233,-75.33297,,2,2,,," 232Ac",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187888010661","9187277010661","1320304010538","",1986,10,1,1,18,2,,1985,6,0,14,0,101,,,38.91678,-75.63854,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187890010661","9187277010661","1320304010538","",1986,10,1,1,19,1,,1987,1,0,16,0,101,,,38.94456,-75.63854,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187917010661","9187277010661","1320304010538","",1986,10,1,1,20,2,,1985,9,0,15,0,101,,,38.94456,-75.44409,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187919010661","9187277010661","1320304010538","",1986,10,1,1,21,1,,1987,1,0,16,0,101,,,39.02789,-75.47187,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9187975010661","9187277010661","1320304010538","",1986,10,1,1,23,1,,1986,1,0,15,0,101,,,38.94456,-75.47187,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9188017010661","9187277010661","1320304010538","",1986,10,1,1,24,1,,1985,6,0,14,0,101,,,39.19456,-75.66632,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9188045010661","9187277010661","1320304010538","",1986,10,1,1,25,1,,1987,1,0,16,0,101,,,38.83345,-75.5552,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9188090010661","9187277010661","1320304010538","",1986,10,1,1,26,2,,1987,1,0,16,0,101,,,38.889,-75.49965,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9188092010661","9187277010661","1320304010538","",1986,10,1,1,28,1,,1986,12,0,16,0,101,,,39.16678,-75.49965,,2,2,,," 232Ac",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9188120010661","9187277010661","1320304010538","",1986,10,1,1,29,1,,1985,6,0,14,0,101,,,39.02789,-75.63854,,2,2,,," 232Hd",1000,0,,,,"",2003-09-26,"10661","",2015-10-26,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
