"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"214053504020004","196516281020004",2002,66,1,10,66007,1,1,,1,24,20,,,987,987,1,50,1,2,6,,,,0,,"SUBP",1,1,1,,15,40,,2,2,0,,,,,,0,,,,,,,152.563,50,88.1855,88.1855,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-09,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053556020004","196516302020004",2002,66,1,10,66008,1,1,,1,24,20,,,987,987,1,30,2,2,6,,,,0,,"SUBP",.970549,1,.970549,,0,0,,3,3,0,,,,,,0,,,,,,,76.3777,30,55.7522,55.7522,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053555020004","196516302020004",2002,66,1,10,66008,2,2,,1,24,20,,,,,,,,,,,,,,,"SUBP",.029451,0,.029451,,,,,,,,,,,,,,,,,,,32,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053571020004","196516298020004",2002,66,1,10,66009,1,2,,1,24,20,,,,,,,,,,,,,,,"SUBP",.744399,.75,.744399,,,,,,,,,,,,,,,,,,,32,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053570020004","196516298020004",2002,66,1,10,66009,2,1,,1,24,20,,,987,987,1,30,2,2,6,,,,0,,"SUBP",.255601,.25,.255601,,0,0,,3,3,0,,,,,,0,,,,,,,72.679,30,52.8003,52.8003,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053569020004","196516303020004",2002,66,1,10,66012,1,4,,0,31,30,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053586020004","196516301020004",2002,66,1,10,66013,1,1,,1,24,20,,,987,987,1,50,2,2,6,,,,0,,"SUBP",1,1,1,,10,360,,2,2,0,,,,,,0,,,,,,,144.7404,50,92.8591,92.8591,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053597020004","196516280020004",2002,66,1,10,66015,1,1,,1,24,20,,,987,987,1,50,2,2,6,,,,0,,"SUBP",.75,.75,.75,,130,270,,2,2,0,,,,,,0,,,,,,,109.9549,50,79.2867,79.2867,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053596020004","196516280020004",2002,66,1,10,66015,2,5,3,1,24,20,,,,,,,,,,,,,,,"SUBP",.25,.25,.25,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"214053592020004","196516305020004",2002,66,1,10,66018,1,2,,0,24,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
