"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"196516281020004","196516261020004","14424029000440","",2002,66,1,10,66007,1,,2002,2,27,,1,1,4,0,13.649694,144.863657,500,,,1,,"",,1.7,1,,1,"",2014-07-09,"489998","",2015-01-14,"489998","OFFSET",1,2230333,1,4,,"3",2,1,"","",,,,,,,,
"196516302020004","196516261020004","14424029000440","",2002,66,1,10,66008,1,,2002,2,19,,1,1,2,0,13.625973,144.879862,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2230333,1,4,,"2",2,1,"","",,,,,,,,
"196516298020004","196516261020004","14424029000440","",2002,66,1,10,66009,1,,2002,2,20,,1,1,1,0,13.619402,144.853766,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2230333,1,4,,"1",2,1,"","",,,,,,,,
"196516303020004","196516261020004","14424029000440","",2002,66,1,10,66012,2,,2002,2,1,,1,1,,,13.602432,144.92277,0,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",,2230333,1,4,,"2",2,1,"","",,,,,,,,
"196516301020004","196516261020004","14424029000440","",2002,66,1,10,66013,1,,2002,2,22,,1,1,4,0,13.60609,144.898987,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2230333,1,4,,"3",2,1,"","",,,,,,,,
"196516280020004","196516261020004","14424029000440","",2002,66,1,10,66015,1,,2002,3,17,,1,1,3,6,13.604378,144.845137,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2232111,1,4,,"2",2,1,"","",,,,,,,,
"196516305020004","196516261020004","14424029000440","",2002,66,1,10,66018,2,,2002,2,1,,1,1,,,13.579379,144.943811,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",,2233000,1,4,,"1",2,1,"","",,,,,,,,
"196516325020004","196516261020004","14424029000440","",2002,66,1,10,66019,1,,2002,2,25,,1,1,5,0,13.595771,144.867519,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"1",2,1,"","",,,,,,,,
"196516300020004","196516261020004","14424029000440","",2002,66,1,10,66020,1,,2002,2,21,,1,1,2,0,13.583812,144.880911,500,,,1,,"",,1.7,1,,1,"",2014-04-30,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"2",2,1,"","",,,,,,,,
"196516277020004","196516261020004","14424029000440","",2002,66,1,10,66021,1,,2002,2,20,,1,1,2,0,13.576458,144.853852,500,,,1,1,"",,1.7,1,,1,"",2014-07-23,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"3",2,1,"","",,,,,,,,
"196516293020004","196516261020004","14424029000440","",2002,66,1,10,66024,1,,2002,2,25,,1,1,1,0,13.589537,144.912005,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"2",2,1,"","",,,,,,,,
"196516304020004","196516261020004","14424029000440","",2002,66,1,10,66025,2,,2002,2,1,,1,1,,,13.559947,144.919985,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",,2233000,1,4,,"3",2,1,"","",,,,,,,,
"196516299020004","196516261020004","14424029000440","",2002,66,1,10,66026,1,,2002,2,14,,1,1,2,0,13.555005,144.892787,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"1",2,1,"","",,,,,,,,
"196516278020004","196516261020004","14424029000440","",2002,66,1,10,66028,1,,2002,2,12,,1,1,1,0,13.549339,144.845097,300,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"2",2,1,"","",,,,,,,,
"196516279020004","196516261020004","14424029000440","",2002,66,1,10,66029,2,,2002,2,1,,1,1,,,13.54993,144.810108,0,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",,2233000,1,4,,"1",2,1,"","",,,,,,,,
"196516292020004","196516261020004","14424029000440","",2002,66,1,10,66033,1,,2002,2,27,,1,1,4,0,13.553212,144.867293,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"2",2,1,"","",,,,,,,,
"196516296020004","196516261020004","14424029000440","",2002,66,1,10,66034,1,,2002,2,11,,1,1,2,0,13.529486,144.887419,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"1",2,1,"","",,,,,,,,
"196516295020004","196516261020004","14424029000440","",2002,66,1,10,66035,2,,2002,2,1,,1,1,,,13.529426,144.851897,300,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",,2233000,1,4,,"3",2,1,"","",,,,,,,,
"196516291020004","196516261020004","14424029000440","",2002,66,1,10,66040,1,,2002,2,14,,1,1,1,0,13.533427,144.915874,500,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"3",2,1,"","",,,,,,,,
"196516294020004","196516261020004","14424029000440","",2002,66,1,10,66042,2,,2002,2,1,,1,1,,,13.506546,144.898003,0,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",,2233000,1,4,,"2",2,1,"","",,,,,,,,
"196516290020004","196516261020004","14424029000440","",2002,66,1,10,66043,1,,2002,2,15,,1,1,2,0,13.525456,144.821425,300,,,1,,"",,1.7,1,,1,"",2014-04-30,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"3",2,1,"","",,,,,,,,
"196516310020004","196516261020004","14424029000440","",2002,66,1,10,66044,1,,2002,2,22,,1,1,2,0,13.508157,144.845564,300,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"2",2,1,"","",,,,,,,,
"196516309020004","196516261020004","14424029000440","",2002,66,1,10,66045,3,2,2002,3,6,,1,1,,,13.506724,144.811402,100,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",,2233000,1,4,,"1",2,1,"","",,,,,,,,
"196516289020004","196516261020004","14424029000440","",2002,66,1,10,66051,1,,2002,2,26,,1,1,4,0,13.505407,144.874623,300,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"1",2,1,"","",,,,,,,,
"196516306020004","196516261020004","14424029000440","",2002,66,1,10,66053,1,,2002,3,1,,1,1,1,0,13.484159,144.85955,100,,,1,,"",,1.7,1,,1,"",2014-04-26,"489998","",2015-01-14,"489998","OFFSET",1,2233000,1,4,,"3",2,1,"","",,,,,,,,
