"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"95292848010478","94562478010478","786010478","74781939010478",2006,21,7,83,2,1,,2006,7,11,6.3,2,1,4,1,36.805998,-88.661288,480,2,2,2,," 231He",2101,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95292931010478","94562478010478","786010478","74782025010478",2006,21,7,83,36,1,,2006,6,6,6.2,2,1,1,0,36.749935,-88.586929,490,2,2,2,3," 231He",2101,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95292993010478","94562478010478","786010478","74782083010478",2006,21,7,83,7,1,,2006,7,6,6.3,2,1,5,0,36.799367,-88.612122,450,2,2,2,," 231He",2101,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293072010478","94562478010478","786010478","74782147010478",2006,21,7,83,15,2,,2006,6,22,6.3,2,1,,,36.786407,-88.767324,450,2,2,2,," 231He",2101,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293090010478","94562478010478","786010478","74782199010478",2006,21,7,83,30,2,,2006,7,6,6.3,2,1,,,36.713229,-88.635982,470,2,2,2,," 231He",2101,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293108010478","94562478010478","786010478","74743116010478",2006,21,7,83,27,2,,2006,6,22,6.2,2,1,,,36.708856,-88.789496,470,2,2,2,," 231He",2101,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293126010478","94562478010478","786010478","74782251010478",2006,21,7,83,3,2,,2006,6,22,6.2,2,1,,,36.639062,-88.516788,560,2,2,2,," 231He",2101,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293144010478","94562478010478","786010478","74743168010478",2006,21,7,83,33,2,,2006,6,15,6.3,2,1,,,36.632116,-88.662539,510,2,2,2,," 231He",2101,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293162010478","94562478010478","786010478","74743220010478",2006,21,7,83,1,2,,2006,6,22,6.3,2,1,,,36.566369,-88.545767,450,2,2,2,," 231He",2101,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293180010478","94562478010478","786010478","74687984010478",2006,21,7,83,43,2,,2006,6,22,3.8,2,1,,,36.558928,-88.694,510,2,2,2,," 231He",2101,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293196010478","94562478010478","787010478","74743272010478",2006,21,5,85,13,2,,2006,8,7,5.9,2,1,,,37.56509,-86.31373,730,2,2,2,," 223Dj",2102,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293212010478","94562478010478","787010478","74688036010478",2006,21,5,85,20,2,,2006,8,7,4.4,2,1,,,37.565317,-86.458889,560,2,2,2,," 223Dj",2102,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293227010478","94562478010478","787010478","74593156010478",2006,21,5,85,23,1,,2006,8,9,3.3,2,1,5,4,37.448862,-86.323648,550,2,2,2,," 223Dj",2102,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293258010478","94562478010478","787010478","74688205010478",2006,21,5,85,14,2,,2006,8,7,4.4,2,1,,,37.492218,-86.339736,630,2,2,2,," 223Dj",2102,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95293273010478","94562478010478","787010478","74743389010478",2006,21,5,85,25,2,,2006,8,7,5.8,2,1,,,37.479528,-86.483191,710,2,2,2,," 223Dj",2102,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294045010478","94562478010478","789010478","74783411010478",2006,21,2,89,12,1,,2006,11,21,6.7,2,1,2,0,38.593846,-83.011938,780,2,2,2,," 221Hb",2104,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294151010478","94562478010478","789010478","74783557010478",2006,21,2,89,7,1,,2006,6,27,6.3,2,1,3,0,38.5243,-83.051293,980,2,2,2,3," 221Hb",2104,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294191010478","94562478010478","789010478","74744180010478",2006,21,2,89,8,2,,2006,11,22,6.7,2,1,,,38.526992,-82.882641,550,2,2,2,," 221He",2104,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294207010478","94562478010478","789010478","74744206010478",2006,21,2,89,19,2,,2006,11,13,5.3,2,1,,,38.52377,-82.722435,680,2,2,2,," 221Eb",2104,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294222010478","94562478010478","789010478","74594205010478",2006,21,2,89,14,1,,2006,11,20,3.9,2,1,4,1,38.443983,-82.913009,560,2,2,2,," 221He",2104,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294272010478","94562478010478","789010478","",2006,21,2,89,39,2,,2006,7,5,,1,1,,,38.59625,-82.84975,510,,,2,," 221En",2104,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,2,1,,"1",6,2,"","",,,,,,,,
"95294288010478","94562478010478","790010478","74689189010478",2006,21,5,91,3,2,,2006,8,21,4.4,2,1,,,37.871168,-86.819481,450,2,2,2,," 223Dc",2102,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294303010478","94562478010478","790010478","74689214010478",2006,21,5,91,11,1,,2006,8,22,4.4,2,1,3,4,37.783406,-86.687384,530,2,2,2,," 223Dc",2102,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294376010478","94562478010478","790010478","74689288010478",2006,21,5,91,1,1,,2006,8,21,4.4,2,1,4,0,37.709048,-86.725862,600,2,2,2,," 223Dc",2102,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294476010478","94562478010478","791010478","74744477010478",2006,21,5,93,6,1,,2007,3,16,5.2,2,1,3,0,37.968017,-85.991759,710,2,2,2,," 223Bd",2102,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294607010478","94562478010478","791010478","74744558010478",2006,21,5,93,22,3,3,2006,7,17,,1,1,,,37.885377,-85.867494,530,2,2,2,3," 223Bd",2102,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294625010478","94562478010478","791010478","74689471010478",2006,21,5,93,14,1,,2007,3,15,4.4,2,1,1,1,37.800822,-85.89557,690,2,2,2,," 223Bc",2102,3,1,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
"95294714010478","94562478010478","791010478","74594564010478",2006,21,5,93,33,2,,2007,3,1,3.7,2,1,,,37.806515,-86.05161,720,2,2,2,," 223Bc",2102,3,2,,1,"",2009-12-08,"10854","",2015-06-09,"489998","OFFSET",,,1,4,,"1",6,2,"","",,,,,,,,
