"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"9531123010661","9528948010661","1320323010538","",1986,24,2,3,4,1,,1985,9,0,10,0,101,,,39.02789,-76.74969,,2,2,,," 232Ad",2405,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531158010661","9528948010661","1320323010538","",1986,24,2,3,5,1,,1985,6,0,9,0,101,,,39.08344,-76.47191,,2,2,,," 232Ad",2404,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531193010661","9528948010661","1320323010538","",1986,24,2,3,15,1,,1985,6,0,9,0,101,,,39.00011,-76.63858,,2,2,,," 232Ad",2404,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531228010661","9528948010661","1320323010538","",1986,24,2,3,27,2,,1985,6,0,9,0,101,,,38.91678,-76.55524,,2,2,,," 232Ad",2405,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531242010661","9528948010661","1320323010538","",1986,24,2,3,34,2,,1985,9,0,10,0,101,,,39.02789,-76.4719,,2,2,,," 232Ad",2404,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531244010661","9528948010661","1320323010538","",1986,24,2,3,37,2,,1985,10,0,10,0,101,,,39.08344,-76.74969,,2,2,,," 232Ad",2403,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531246010661","9528948010661","1320323010538","",1986,24,2,3,38,1,,1985,9,0,10,0,101,,,39.16678,-76.69414,,2,2,,," 232Ad",2403,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531275010661","9528948010661","1320323010538","",1986,24,2,3,39,1,,1985,10,0,10,0,101,,,39.16678,-76.66636,,2,2,,," 232Ad",2403,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531279010661","9528948010661","1320323010538","",1986,24,2,3,41,1,,1986,2,0,10,0,101,,,38.83345,-76.66635,,2,2,,," 232Ad",2405,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9531310010661","9528948010661","1320323010538","",1986,24,2,3,42,2,,1985,9,0,10,0,101,,,38.80567,-76.63857,,2,2,,," 232Ad",2405,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
