"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"18039567010661","17890116010661","1320307010538","",1995,23,1,29,1,1,,1994,6,0,13,0,101,,,45.13896,-67.19388,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18039671010661","17890116010661","1320307010538","",1995,23,1,29,2,1,,1994,7,0,13,0,101,,,45.16674,-67.1661,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18039708010661","17890116010661","1320307010538","",1995,23,1,29,3,1,,1994,7,0,13,0,101,,,45.13896,-67.19388,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18039756010661","17890116010661","1320307010538","",1995,23,1,29,5,1,,1994,6,0,13,0,101,,,44.94452,-67.27721,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18039840010661","17890116010661","1320307010538","",1995,23,1,29,6,1,,1994,7,0,13,0,101,,,44.9723,-67.27721,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18039929010661","17890116010661","1320307010538","",1995,23,1,29,9,1,,1994,8,0,14,0,101,,,45.11119,-67.38833,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18039980010661","17890116010661","1320307010538","",1995,23,1,29,10,1,,1994,6,0,13,0,101,,,45.11119,-67.41611,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18040071010661","17890116010661","1320307010538","",1995,23,1,29,13,1,,1994,11,0,14,0,101,,,44.55563,-67.97167,,2,2,,," 211Cb",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18040126010661","17890116010661","1320307010538","",1995,23,1,29,14,1,,1994,11,0,14,0,101,,,44.52786,-67.97167,,2,2,,," 211Cb",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"18040204010661","17890116010661","1320307010538","",1995,23,1,29,15,1,,1994,7,0,13,0,101,,,44.9723,-67.4161,,2,2,,," 211Ca",2302,0,,,,"",2003-10-03,"10661","",2016-01-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
