"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"9682851010661","9682850010661","1320371010538","",1987,34,1,1,1,2,,1986,12,0,16,0,101,,,39.63901,-74.83294,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9682853010661","9682850010661","1320371010538","",1987,34,1,1,2,1,,1986,12,0,16,0,101,,,39.66678,-74.74961,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9682873010661","9682850010661","1320371010538","",1987,34,1,1,3,2,,1986,12,0,16,0,101,,,39.50012,-74.74961,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9682875010661","9682850010661","1320371010538","",1987,34,1,1,5,1,,1986,12,0,16,0,101,,,39.36123,-74.74961,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9682920010661","9682850010661","1320371010538","",1987,34,1,1,6,1,,1986,12,0,16,0,101,,,39.33345,-74.77739,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9682945010661","9682850010661","1320371010538","",1987,34,1,1,7,1,,1986,12,0,16,0,101,,,39.50012,-74.80517,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9682968010661","9682850010661","1320371010538","",1987,34,1,1,10,1,,1986,12,0,16,0,101,,,39.50012,-74.69405,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9682997010661","9682850010661","1320371010538","",1987,34,1,1,12,1,,1986,12,0,16,0,101,,,39.52789,-74.69405,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683023010661","9682850010661","1320371010538","",1987,34,1,1,16,1,,1986,12,0,16,0,101,,,39.44456,-74.63849,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683044010661","9682850010661","1320371010538","",1987,34,1,1,17,2,,1986,12,0,16,0,101,,,39.38901,-74.63849,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683046010661","9682850010661","1320371010538","",1987,34,1,1,19,2,,1986,12,0,16,0,101,,,39.36123,-74.55516,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683048010661","9682850010661","1320371010538","",1987,34,1,1,21,1,,1986,12,0,16,0,101,,,39.58345,-74.66627,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683081010661","9682850010661","1320371010538","",1987,34,1,1,22,2,,1986,12,0,16,0,101,,,39.44456,-74.4996,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683083010661","9682850010661","1320371010538","",1987,34,1,1,23,1,,1986,12,0,16,0,101,,,39.47234,-74.72183,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683112010661","9682850010661","1320371010538","",1987,34,1,1,25,1,,1986,12,0,16,0,101,,,39.41678,-74.83294,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683144010661","9682850010661","1320371010538","",1987,34,1,1,26,1,,1986,12,0,16,0,101,,,39.44456,-74.83294,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683177010661","9682850010661","1320371010538","",1987,34,1,1,27,1,,1986,12,0,16,0,101,,,39.33345,-74.83294,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683205010661","9682850010661","1320371010538","",1987,34,1,1,29,1,,1986,12,0,16,0,101,,,39.38901,-74.66627,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683231010661","9682850010661","1320371010538","",1987,34,1,1,31,1,,1986,12,0,16,0,101,,,39.50012,-74.94406,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683256010661","9682850010661","1320371010538","",1987,34,1,1,33,1,,1986,12,0,16,0,101,,,39.47234,-74.63849,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683281010661","9682850010661","1320371010538","",1987,34,1,1,35,1,,1986,12,0,16,0,101,,,39.58345,-74.80516,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683292010661","9682850010661","1320371010538","",1987,34,1,1,38,1,,1986,12,0,16,0,101,,,39.41678,-74.69405,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683324010661","9682850010661","1320371010538","",1987,34,1,1,42,1,,1986,12,0,16,0,101,,,39.58345,-74.69405,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9683349010661","9682850010661","1320371010538","",1987,34,1,1,46,1,,1986,12,0,16,0,101,,,39.33345,-74.83294,,2,2,,," 232Ab",3402,0,,,,"",2003-09-26,"10661","",2015-05-14,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
