"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"9727630010661","9706280010661","1320397010538","",1993,36,1,19,1,2,,1992,6,0,14,0,101,,,44.69449,-73.63847,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9727632010661","9706280010661","1320397010538","",1993,36,1,19,5,2,,1992,5,0,14,0,101,,,44.97226,-73.58292,,2,2,,," 211Ea",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9727634010661","9706280010661","1320397010538","",1993,36,1,19,11,1,,1992,6,0,14,0,101,,,44.8056,-73.6107,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9727715010661","9706280010661","1320397010538","",1993,36,1,19,14,1,,1992,6,0,14,0,101,,,44.77782,-73.63847,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9727782010661","9706280010661","1320397010538","",1993,36,1,19,15,1,,1992,7,0,14,0,101,,,44.77782,-73.63847,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9727900010661","9706280010661","1320397010538","",1993,36,1,19,18,1,,1992,6,0,14,0,101,,,44.58338,-73.63847,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9727949010661","9706280010661","1320397010538","",1993,36,1,19,20,1,,1992,7,0,13,0,101,,,44.63893,-73.69403,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728013010661","9706280010661","1320397010538","",1993,36,1,19,21,1,,1992,7,0,13,0,101,,,44.77782,-73.66625,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728124010661","9706280010661","1320397010538","",1993,36,1,19,27,1,,1992,6,0,13,0,101,,,44.72226,-73.72181,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728224010661","9706280010661","1320397010538","",1993,36,1,19,34,1,,1992,6,0,14,0,101,,,44.88893,-73.77737,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728291010661","9706280010661","1320397010538","",1993,36,1,19,36,1,,1992,6,0,13,0,101,,,44.83338,-73.97181,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728393010661","9706280010661","1320397010538","",1993,36,1,19,41,1,,1992,7,0,13,0,101,,,44.66671,-73.91626,,2,2,,,"M211Dc",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728507010661","9706280010661","1320397010538","",1993,36,1,19,44,1,,1992,6,0,13,0,101,,,44.88893,-73.91626,,2,2,,," 211Eb",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728564010661","9706280010661","1320397010538","",1993,36,1,19,45,1,,1992,6,0,13,0,101,,,44.91671,-73.88848,,2,2,,," 211Eb",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"9728625010661","9706280010661","1320397010538","",1993,36,1,19,46,1,,1992,5,0,14,0,101,,,44.97226,-73.91626,,2,2,,," 211Eb",3621,0,,,,"",2003-09-26,"10661","",2015-05-13,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
