"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"19098951010661","19098950010661","1320454010538","",1991,39,1,1,4,1,,1991,7,0,13,0,101,,,38.75007,-83.27768,,2,2,,," 221Eg",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099006010661","19098950010661","1320454010538","",1991,39,1,1,8,1,,1991,6,0,13,0,101,,,39.02785,-83.41658,,2,2,,," 223Fd",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099054010661","19098950010661","1320454010538","",1991,39,1,1,9,1,,1991,6,0,13,0,101,,,39.02785,-83.41658,,2,2,,," 223Fd",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099110010661","19098950010661","1320454010538","",1991,39,1,1,10,1,,1991,6,0,12,0,101,,,39.02785,-83.36102,,2,2,,," 223Fd",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099147010661","19098950010661","1320454010538","",1991,39,1,1,18,1,,1991,6,0,13,0,101,,,38.86118,-83.55547,,2,2,,," 222Hc",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099229010661","19098950010661","1320454010538","",1991,39,1,1,20,1,,1991,6,0,13,0,101,,,39.00007,-83.5277,,2,2,,," 222Hc",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099296010661","19098950010661","1320454010538","",1991,39,1,1,21,1,,1991,6,0,12,0,101,,,39.00007,-83.47214,,2,2,,," 222Hc",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099352010661","19098950010661","1320454010538","",1991,39,1,1,23,1,,1991,6,0,13,0,101,,,38.88896,-83.3888,,2,2,,," 221Eg",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099410010661","19098950010661","1320454010538","",1991,39,1,1,28,1,,1991,7,0,13,0,101,,,38.69452,-83.55547,,2,2,,," 223Fd",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"19099469010661","19098950010661","1320454010538","",1991,39,1,1,31,1,,1991,7,0,13,0,101,,,38.75007,-83.61103,,2,2,,," 223Fd",3902,0,,,,"",2003-10-03,"10661","",2015-07-21,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
