"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"162404419010854","161803849010854","1113010478","",1976,40,1,5,1,1,,1976,1,,10.5,0,214,,,34.58,-95.97,850,2,2,,,"M231Aa",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"212442079010854","161803849010854","1113010478","",1976,40,1,5,2,2,,1976,,,,0,214,,,34.382141,-96.086132,730,,,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"162404420010854","161803849010854","1113010478","",1976,40,1,5,3,1,,1976,1,,10.5,0,214,,,34.56,-95.75,960,2,2,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"212442107010854","161803849010854","1113010478","",1976,40,1,5,4,2,,1976,,,,0,214,,,34.382141,-96.086132,780,,,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"162404421010854","161803849010854","1113010478","",1976,40,1,5,5,1,,1976,1,,10.4,0,214,,,34.58,-95.81,870,2,2,,,"M231Aa",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"162404422010854","161803849010854","1113010478","",1976,40,1,5,6,1,,1976,1,,10.5,0,214,,,34.56,-95.81,700,2,2,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"212442078010854","161803849010854","1113010478","",1976,40,1,5,7,2,,1976,,,,0,214,,,34.382141,-96.086132,720,,,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"162404423010854","161803849010854","1113010478","",1976,40,1,5,8,1,,1976,1,,10.5,0,214,,,34.36,-95.97,790,2,2,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"162404424010854","161803849010854","1113010478","",1976,40,1,5,9,1,,1976,1,,10.4,0,214,,,34.42,-95.81,980,2,2,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"162404425010854","161803849010854","1113010478","",1976,40,1,5,10,1,,1976,1,,10.5,0,214,,,34.36,-95.81,810,2,2,,,"M231Ab",4002,0,,,,"",2010-01-13,"10854","",2016-05-06,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
