"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"249603590010854","120176507010478","13163728010478","",2001,72,1,3,1,2,,2001,6,19,,1,1,,,18.340718,-67.175066,470,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603591010854","120176507010478","13163729010478","",2001,72,1,5,2,2,,2001,6,15,,1,1,,,18.452029,-67.127948,500,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603592010854","120176507010478","13163731010478","",2001,72,1,9,2,1,,2001,5,3,,1,1,4,4,18.14744,-66.239268,1730,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603595010854","120176507010478","13163733010478","",2001,72,1,13,10,1,,2001,6,27,,1,1,5,0,18.452819,-66.58549,150,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603594010854","120176507010478","13163733010478","",2001,72,1,13,12,1,,2001,6,21,,1,1,2,0,18.347861,-66.674318,610,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603593010854","120176507010478","13163733010478","",2001,72,1,13,15,2,,2001,6,27,,1,1,,,18.449641,-66.721687,200,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603596010854","120176507010478","13163736010478","",2001,72,1,19,5,2,,2001,4,25,,1,1,,,18.238464,-66.289545,2050,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603597010854","120176507010478","13163738010478","",2001,72,1,23,17,2,,2001,6,8,,1,1,,,18.12576,-67.15236,250,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603598010854","120176507010478","13163739010478","",2001,72,1,25,5,2,,2001,3,21,,1,1,,,18.230082,-66.046651,210,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603599010854","120176507010478","13163740010478","",2001,72,1,27,1,2,,2001,6,18,,1,1,,,18.455706,-66.875397,360,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603600010854","120176507010478","13163741010478","",2001,72,1,29,3,1,,2001,4,5,,1,1,2,0,18.311,-65.895926,440,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603602010854","120176507010478","13163744010478","",2001,72,1,35,5,2,,2001,5,1,,1,1,,,18.126555,-66.10251,1490,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603601010854","120176507010478","13163744010478","",2001,72,1,35,9,3,2,2001,7,2,,1,1,,,18.103565,-66.146866,1780,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603603010854","120176507010478","13163745010478","",2001,72,1,37,18,1,,2001,4,16,,1,1,1,0,18.232231,-65.650664,60,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603604010854","120176507010478","13163746010478","",2001,72,1,39,15,1,,2001,7,3,,1,1,5,0,18.341181,-66.520926,1010,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603605010854","120176507010478","13163748010478","",2001,72,1,43,5,1,,2001,5,23,,1,1,6,0,18.122717,-66.358131,1770,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603606010854","120176507010478","13163749010478","",2001,72,1,45,1,1,,2001,4,26,,1,1,3,0,18.228659,-66.188412,1250,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603608010854","120176507010478","13163755010478","",2001,72,1,55,8,2,,2001,6,4,,1,1,,,17.972787,-66.92515,40,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603610010854","120176507010478","13163757010478","",2001,72,1,59,5,1,,2001,7,5,,1,1,5,0,18.125418,-66.761182,2760,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603609010854","120176507010478","13163757010478","",2001,72,1,59,12,1,,2001,5,17,,1,1,6,0,18.015628,-66.806969,270,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603611010854","120176507010478","13163758010478","",2001,72,1,61,9,2,,2001,4,24,,1,1,,,18.341943,-66.129153,370,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603612010854","120176507010478","13163760010478","",2001,72,1,65,5,2,,2001,6,20,,1,1,,,18.465971,-66.820122,90,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603613010854","120176507010478","13163762010478","",2001,72,1,69,1,1,,2001,4,16,,1,1,1,0,18.104182,-65.827667,390,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603614010854","120176507010478","13163763010478","",2001,72,1,71,7,1,,2001,6,20,,1,1,5,0,18.445918,-66.982284,370,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603615010854","120176507010478","13163764010478","",2001,72,1,73,15,1,,2001,5,19,,1,1,2,0,18.231638,-66.584282,2810,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603616010854","120176507010478","13163766010478","",2001,72,1,77,2,2,,2001,3,23,,1,1,,,18.236151,-65.907179,220,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603617010854","120176507010478","13163767010478","",2001,72,1,79,2,2,,2001,6,1,,1,1,,,18.009313,-67.070698,40,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603618010854","120176507010478","13163768010478","",2001,72,1,81,8,2,,2001,6,6,,1,1,,,18.234765,-66.84686,1080,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603619010854","120176507010478","13163769010478","",2001,72,1,83,2,1,,2001,6,12,,1,1,5,0,18.264228,-66.943729,370,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603621010854","120176507010478","13163771010478","",2001,72,1,87,3,1,,2001,3,28,,1,1,3,5,18.447325,-65.964736,0,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603620010854","120176507010478","13163771010478","",2001,72,1,87,6,1,,2001,8,7,,1,1,5,5,18.434548,-65.92056,0,,,1,,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603622010854","120176507010478","13163772010478","",2001,72,1,89,3,1,,2001,4,9,,1,1,3,0,18.341617,-65.738786,470,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603623010854","120176507010478","13163773010478","",2001,72,1,91,6,2,,2001,3,21,,1,1,,,18.449859,-66.471148,80,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
"249603624010854","120176507010478","13163775010478","",2001,72,1,95,4,2,,2001,5,2,,1,1,,,18.017491,-65.905509,80,,,1,1,"",,1.6,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,1,4,,"36",3,1,"","",,,,,,,,
