"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"290064316489998","290059506489998",2003,70,1,2,70235,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"233661930020004","221504961020004",2003,70,1,2,70240,1,1,,0,31,30,,,987,987,1,15,1,2,6,,,,0,,"SUBP",1,1,1,,40,163,,2,2,0,,,,,,0,,,,,,,141.2545,15,74.8108,74.8108,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-29,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661910020004","221504957020004",2003,70,1,2,70595,1,1,,0,31,30,,,987,987,1,50,2,2,6,,,,0,,"SUBP",1,1,1,,40,10,,2,2,0,,,,,,0,,,,,,,134.4134,50,79.7282,79.7282,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661885020004","221504958020004",2003,70,1,2,70604,1,3,,0,31,30,,,,,,,,,,,,,,,"SUBP",.201124,.25,.201124,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-07-30,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661883020004","221504958020004",2003,70,1,2,70604,2,1,,0,31,30,,,982,982,1,50,2,2,6,,,,0,,"SUBP",.540193,.5,.540193,,0,0,,3,3,0,,,,,,0,,,,,,,73.4444,50,50.6314,50.6314,982,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661884020004","221504958020004",2003,70,1,2,70604,3,1,,0,31,30,,,987,987,1,50,2,2,6,,,,0,,"SUBP",.258683,.25,.258683,,45,240,,1,1,0,,,,,,0,,,,,,,191.3992,50,115.9726,115.9726,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661920020004","221504959020004",2003,70,1,2,70607,1,1,,0,46,40,,,987,987,1,45,1,3,6,,,,0,,"SUBP",.75,.75,.75,,25,18,,2,2,0,,,,,,0,,,,,,,215.583,45,97.2884,97.2884,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661919020004","221504959020004",2003,70,1,2,70607,2,1,,0,46,40,,,987,987,1,10,3,1,6,,,,0,,"SUBP",.25,.25,.25,,40,302,,1,1,0,,,,,,0,,,,,,,48.2291,10,120,120,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661849020004","221504956020004",2003,70,1,2,70609,1,1,,0,25,20,,,987,987,1,50,1,2,6,,,,0,,"SUBP",1,1,1,,15,115,,2,2,0,,,,,,0,,,,,,,150.9068,50,72.0862,72.0862,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661923020004","221504960020004",2003,70,1,2,70625,1,1,,0,31,30,,,987,987,1,50,2,2,6,,,,0,,"SUBP",1,1,1,,30,35,,3,3,0,,,,,,0,,,,,,,67.271,50,45.9287,45.9287,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"290064301489998","290059503489998",2003,70,1,2,70640,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064306489998","290059504489998",2003,70,1,2,70643,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064311489998","290059505489998",2003,70,1,2,70645,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064291489998","290059501489998",2003,70,1,2,70649,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064281489998","290059499489998",2003,70,1,2,70654,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064286489998","290059500489998",2003,70,1,2,72510,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064296489998","290059502489998",2003,70,1,2,72596,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064366489998","290059516489998",2003,70,1,4,70127,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064351489998","290059513489998",2003,70,1,4,70130,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064356489998","290059514489998",2003,70,1,4,70163,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064331489998","290059509489998",2003,70,1,4,70172,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064341489998","290059511489998",2003,70,1,4,70177,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"233661868020004","221504964020004",2003,70,1,4,70184,1,1,,0,46,40,,,987,987,1,70,1,2,6,,,,0,,"SUBP",.708153,.75,.708153,,70,310,,2,2,0,,,,,,0,,,,,,,144.793,70,69.3337,69.3337,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661867020004","221504964020004",2003,70,1,4,70184,2,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.291847,.25,.291847,,,,,,,,,,,,,,,,,,,20,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-07-30,"489998","",2015-01-13,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"290064326489998","290059508489998",2003,70,1,4,70190,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064336489998","290059510489998",2003,70,1,4,70193,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064321489998","290059507489998",2003,70,1,4,70195,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"233661878020004","221504965020004",2003,70,1,4,70199,1,1,,0,34,30,,,987,987,1,60,1,3,6,,,,0,,"SUBP",1,1,1,,12,235,,2,2,0,,,,,,0,,,,,,,178.3202,60,90.5371,90.5371,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-29,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661904020004","221504962020004",2003,70,1,4,70202,1,1,,0,31,30,,,987,987,1,45,2,2,6,,,,0,,"SUBP",.510331,.5,.510331,,25,255,,4,4,0,,,,,,0,,,,,,,46.8278,45,32.2022,32.2022,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661905020004","221504962020004",2003,70,1,4,70202,2,2,,0,31,30,,,,,,,,,,,,,,,"SUBP",.489669,.5,.489669,,,,,,,,,,,,,,,,,,,20,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-07-30,"489998","",2015-01-13,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"233661889020004","221504966020004",2003,70,1,4,70204,1,1,,0,31,30,,,987,987,1,60,2,3,6,,,,0,,"SUBP",.824115,.75,.824115,,10,200,,2,2,0,,,,,,0,,,,,,,145.368,60,75.777,75.777,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-30,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,1,,,,,,""
"233661888020004","221504966020004",2003,70,1,4,70204,2,3,,0,31,30,,,,,,,,,,,,,,,"SUBP",.175885,.25,.175885,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-07-30,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"290064361489998","290059515489998",2003,70,1,4,70208,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
"290064346489998","290059512489998",2003,70,1,4,70213,1,4,,0,23,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-11-25,"489998","",2014-11-26,"489998",2,1,"","",,,,"",,,,,,,,,,,12,0,0,,,,0,,,10,,,""
