"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"290059506489998","221504955020004","14424067000440","",2003,70,1,2,70235,2,,2003,9,1,,1,1,,,7.414412,134.488021,0,,,1,,"",,1.7,1,,1,"",2014-11-25,"489998","",2015-01-14,"489998","OFFSET",,,2,1,,"1",2,1,"","",,,,,,,,
"221504961020004","221504955020004","14424067000440","",2003,70,1,2,70240,1,,2003,2,26,,1,1,4,0,7.411241,134.513671,100,,,1,,"",,1.7,1,,1,"",2014-07-29,"489998","",2015-01-14,"489998","OFFSET",1,,1,4,,"3",2,1,"","",,,,,,,,
"221504957020004","221504955020004","14424067000440","",2003,70,1,2,70595,1,,2003,3,12,,1,1,4,0,7.432331,134.524719,0,,,1,,"",,1.7,1,,1,"",2014-07-30,"489998","",2015-01-14,"489998","OFFSET",1,,1,4,,"1",2,1,"","",,,,,,,,
"221504958020004","221504955020004","14424067000440","",2003,70,1,2,70604,1,,2003,3,6,,1,1,3,1,7.456342,134.481948,0,,,1,,"",,1.7,1,,1,"",2014-07-30,"489998","",2015-01-14,"489998","OFFSET",1,,1,4,,"1",2,1,"","",,,,,,,,
"221504959020004","221504955020004","14424067000440","",2003,70,1,2,70607,1,,2003,3,5,,1,1,2,0,7.430232,134.487442,0,,,1,,"",,1.7,1,,1,"",2014-07-30,"489998","",2015-01-14,"489998","OFFSET",1,,1,4,,"2",2,1,"","",,,,,,,,
"221504956020004","221504955020004","14424067000440","",2003,70,1,2,70609,1,,2003,3,19,,1,1,4,0,7.452047,134.503509,0,,,1,,"",,1.7,1,,1,"",2014-07-30,"489998","",2015-01-14,"489998","OFFSET",1,,1,4,,"3",2,1,"","",,,,,,,,
"221504960020004","221504955020004","14424067000440","",2003,70,1,2,70625,1,,2003,3,27,,1,1,5,0,7.475779,134.488906,0,,,1,,"",,1.7,1,,1,"",2014-07-30,"489998","",2015-01-14,"489998","OFFSET",1,,1,4,,"3",2,1,"","",,,,,,,,
"290059503489998","221504955020004","14424067000440","",2003,70,1,2,70640,2,,2003,9,1,,1,1,,,7.476195,134.441085,0,,,1,,"",,1.7,1,,1,"",2014-11-25,"489998","",2015-01-14,"489998","OFFSET",,,2,1,,"1",2,1,"","",,,,,,,,
"290059504489998","221504955020004","14424067000440","",2003,70,1,2,70643,2,,2003,9,1,,1,1,,,7.446547,134.456787,0,,,1,,"",,1.7,1,,1,"",2014-11-25,"489998","",2015-01-14,"489998","OFFSET",,,2,1,,"3",2,1,"","",,,,,,,,
"290059505489998","221504955020004","14424067000440","",2003,70,1,2,70645,2,,2003,9,1,,1,1,,,7.475005,134.460678,0,,,1,,"",,1.7,1,,1,"",2014-11-25,"489998","",2015-01-14,"489998","OFFSET",,,2,1,,"2",2,1,"","",,,,,,,,
