"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"10178897010661","10178896010661",1985,44,1,1,1,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,39,5,5,,,,,,,,,,,,,,66.3183,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10178917010661","10178916010661",1985,44,1,1,2,1,1,,0,32,30,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,39,5,5,,,,,,,,,,,,,,79.3226,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10178943010661","10178942010661",1985,44,1,1,3,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10178945010661","10178944010661",1985,44,1,1,4,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,39,5,5,,,,,,,,,,,,,,87.1438,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10178987010661","10178986010661",1985,44,1,1,5,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10178989010661","10178988010661",1985,44,1,1,6,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10178991010661","10178990010661",1985,44,1,1,7,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10178993010661","10178992010661",1985,44,1,1,8,1,1,,1,32,30,,,100,,,0,,,6,,,,0,,"",1,1,1,,0,0,29,5,5,,,,,,,,,,,,,,0,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10179021010661","10179020010661",1985,44,1,1,9,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"10179023010661","10179022010661",1985,44,1,1,12,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-29,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
