"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"10178896010661","10178895010661","1320609010538","",1985,44,1,1,1,1,,1984,5,0,12,0,101,,,41.69455,-71.27727,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10178916010661","10178895010661","1320609010538","",1985,44,1,1,2,1,,1984,5,0,12,0,101,,,41.66677,-71.24949,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10178942010661","10178895010661","1320609010538","",1985,44,1,1,3,2,,1984,5,0,12,0,101,,,41.66677,-71.24949,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10178944010661","10178895010661","1320609010538","",1985,44,1,1,4,1,,1984,5,0,12,0,101,,,41.72232,-71.24949,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10178986010661","10178895010661","1320609010538","",1985,44,1,1,5,2,,1984,5,0,12,0,101,,,41.72232,-71.24949,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10178988010661","10178895010661","1320609010538","",1985,44,1,1,6,2,,1984,5,0,12,0,101,,,41.7501,-71.24949,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10178990010661","10178895010661","1320609010538","",1985,44,1,1,7,2,,1984,5,0,12,0,101,,,41.7501,-71.27727,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10178992010661","10178895010661","1320609010538","",1985,44,1,1,8,1,,1984,5,0,12,0,101,,,41.7501,-71.30505,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179020010661","10178895010661","1320609010538","",1985,44,1,1,9,2,,1984,5,0,12,0,101,,,41.66677,-71.30505,,2,2,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179022010661","10178895010661","1320609010538","",1985,44,1,1,12,2,,1984,5,0,,0,101,,,41.69455,-71.27727,,,,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179024010661","10178895010661","1320609010538","",1985,44,1,1,13,2,,1984,5,0,,0,101,,,41.69455,-71.22171,,,,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179026010661","10178895010661","1320609010538","",1985,44,1,1,899,1,,1984,5,0,,4,999,,,41.709348,-71.295047,,,,,," 221Ac",4401,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179028010661","10178895010661","1320610010538","",1985,44,1,3,1,2,,1984,7,0,13,0,101,,,41.63899,-71.44395,,2,2,,," 221Ac",4402,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179030010661","10178895010661","1320610010538","",1985,44,1,3,2,1,,1984,7,0,13,0,101,,,41.66677,-71.58284,,2,2,,," 221Ag",4402,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179065010661","10178895010661","1320610010538","",1985,44,1,3,3,2,,1984,7,0,13,0,101,,,41.69454,-71.52728,,2,2,,," 221Ag",4402,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179067010661","10178895010661","1320610010538","",1985,44,1,3,4,2,,1984,7,0,13,0,101,,,41.72232,-71.58284,,2,2,,," 221Ag",4402,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179069010661","10178895010661","1320610010538","",1985,44,1,3,5,1,,1984,7,0,13,0,101,,,41.63899,-71.52728,,2,2,,," 221Ag",4402,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179088010661","10178895010661","1320610010538","",1985,44,1,3,6,2,,1984,7,0,13,0,101,,,41.63899,-71.58284,,2,2,,," 221Ag",4402,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"10179113010661","10178895010661","1320610010538","",1985,44,1,3,7,2,,1984,7,0,13,0,101,,,41.66677,-71.61062,,2,2,,," 221Ag",4402,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
