"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"255110738010854","255110498010854",2004,78,1,10,1,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110743010854","255110486010854",2004,78,1,10,2,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110748010854","255110380010854",2004,78,1,10,3,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110753010854","255110541010854",2004,78,1,10,4,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110758010854","255110531010854",2004,78,1,10,5,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110763010854","255110527010854",2004,78,1,10,6,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110768010854","255110606010854",2004,78,1,10,7,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110773010854","255110507010854",2004,78,1,10,8,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110778010854","255110504010854",2004,78,1,10,9,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"255110783010854","255110492010854",2004,78,1,10,10,1,4,,,,,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S33CARIBMOIST",,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",1,1,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
