"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"255110498010854","167263136010854","13163805010478","",2004,78,1,10,1,2,,2004,6,1,,1,1,,,17.833975,-64.630846,0,,,1,,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110486010854","167263136010854","13163805010478","",2004,78,1,10,2,2,,2004,6,1,,1,1,,,17.831309,-64.594564,0,,,1,1,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110380010854","167263136010854","13163805010478","",2004,78,1,10,3,2,,2004,6,1,,1,1,,,17.823365,-64.816133,0,,,1,1,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110541010854","167263136010854","13163805010478","",2004,78,1,10,4,2,,2004,6,1,,1,1,,,17.822579,-64.798775,0,,,1,,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110531010854","167263136010854","13163805010478","",2004,78,1,10,5,2,,2004,6,1,,1,1,,,17.823176,-64.770078,0,,,1,1,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110527010854","167263136010854","13163805010478","",2004,78,1,10,6,2,,2004,6,1,,1,1,,,17.823667,-64.753932,0,,,1,,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110606010854","167263136010854","13163805010478","",2004,78,1,10,7,2,,2004,6,1,,1,1,,,17.818352,-64.719717,0,,,1,1,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110507010854","167263136010854","13163805010478","",2004,78,1,10,8,2,,2004,6,1,,1,1,,,17.819583,-64.671328,0,,,1,1,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110504010854","167263136010854","13163805010478","",2004,78,1,10,9,2,,2004,6,1,,1,1,,,17.82077,-64.653274,0,,,1,,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
"255110492010854","167263136010854","13163805010478","",2004,78,1,10,10,2,,2004,6,1,,1,1,,,17.817198,-64.620668,0,,,1,1,"",,4,0,,1,"",2011-09-29,"20004","",2016-02-05,"489998","OFFSET",,,2,4,,"6",1,1,"","",,,,,,,,
