"CN","PLT_CN","PREV_TRE_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","TREE","CONDID","AZIMUTH","DIST","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIAHTCD","HT","HTCD","ACTUALHT","TREECLCD","CR","CCLCD","TREEGRCD","AGENTCD","CULL","DAMLOC1","DAMTYP1","DAMSEV1","DAMLOC2","DAMTYP2","DAMSEV2","DECAYCD","STOCKING","WDLDSTEM","VOLCFNET","VOLCFGRS","VOLCSNET","VOLCSGRS","VOLBFNET","VOLBFGRS","VOLCFSND","GROWCFGS","GROWBFSL","GROWCFAL","MORTCFGS","MORTBFSL","MORTCFAL","REMVCFGS","REMVBFSL","REMVCFAL","DIACHECK","MORTYR","SALVCD","UNCRCD","CPOSCD","CLIGHTCD","CVIGORCD","CDENCD","CDIEBKCD","TRANSCD","TREEHISTCD","DIACALC","BHAGE","TOTAGE","CULLDEAD","CULLFORM","CULLMSTOP","CULLBF","CULLCF","BFSND","CFSND","SAWHT","BOLEHT","FORMCL","HTCALC","HRDWD_CLUMP_CD","SITREE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MORTCD","HTDMP","ROUGHCULL","MIST_CL_CD","CULL_FLD","RECONCILECD","PREVDIA","FGROWCFGS","FGROWBFSL","FGROWCFAL","FMORTCFGS","FMORTBFSL","FMORTCFAL","FREMVCFGS","FREMVBFSL","FREMVCFAL","P2A_GRM_FLG","TREECLCD_NERS","TREECLCD_SRS","TREECLCD_NCRS","TREECLCD_RMRS","STANDING_DEAD_CD","PREV_STATUS_CD","PREV_WDLDSTEM","TPA_UNADJ","TPAMORT_UNADJ","TPAREMV_UNADJ","TPAGROW_UNADJ","DRYBIO_BOLE","DRYBIO_TOP","DRYBIO_STUMP","DRYBIO_SAPLING","DRYBIO_WDLD_SPP","DRYBIO_BG","CARBON_AG","CARBON_BG","CYCLE","SUBCYCLE","BORED_CD_PNWRS","DAMLOC1_PNWRS","DAMLOC2_PNWRS","DIACHECK_PNWRS","DMG_AGENT1_CD_PNWRS","DMG_AGENT2_CD_PNWRS","DMG_AGENT3_CD_PNWRS","MIST_CL_CD_PNWRS","SEVERITY1_CD_PNWRS","SEVERITY1A_CD_PNWRS","SEVERITY1B_CD_PNWRS","SEVERITY2_CD_PNWRS","SEVERITY2A_CD_PNWRS","SEVERITY2B_CD_PNWRS","SEVERITY3_CD_PNWRS","UNKNOWN_DAMTYP1_PNWRS","UNKNOWN_DAMTYP2_PNWRS","PREV_PNTN_SRS","DISEASE_SRS","DIEBACK_SEVERITY_SRS","DAMAGE_AGENT_CD1","DAMAGE_AGENT_CD2","DAMAGE_AGENT_CD3","CENTROID_DIA","CENTROID_DIA_HT","CENTROID_DIA_HT_ACTUAL","UPPER_DIA","UPPER_DIA_HT","VOLCSSND","DRYBIO_SAWLOG"
"249762175010854","249636283010854","",2004,78,1,10,113,2,1,1,308,2.8,,1,303,54,1.1,2,7,1,7,3,40,3,,,,,,,,,,,10.2928,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,3.4,,,,,1.1,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,,4.490033,1.286599,2.245017,.6433,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249762174010854","249636283010854","",2004,78,1,10,113,2,2,1,309,2.8,,1,303,54,1.2,2,10,1,10,3,25,3,,,,,,,,,,,10.2928,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,2.8,,,,,1.2,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,,5.341943,1.456208,2.670972,.728104,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763206010854","249636337010854","",2004,78,1,10,157,1,1,1,294,5.5,,1,7565,54,1.3,1,8,1,8,3,20,3,,,,,,,,,,,11.4792,,,,,,,,,,,,,,,,,,0,,,35,2,4,2,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,5,,,,,1.3,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,2.711585,,.711198,1.355793,.355599,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763205010854","249636337010854","",2004,78,1,10,157,1,2,1,294,5.5,,1,7565,54,1.2,1,9,1,9,3,20,3,,,,,,,,,,,11.4792,,,,,,,,,,,,,,,,,,0,,,35,2,4,2,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,5,,,,,1.2,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,2.183124,,.595117,1.091562,.297559,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763204010854","249636337010854","",2004,78,1,10,157,2,1,1,118,5,,1,7565,54,1.5,1,5,1,5,3,70,3,,,,,,,,,,,3.0724,,,,,,,,,,,,,,,,,,0,,,95,2,4,1,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,1.6,,,,,1.5,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,3.959847,,.981805,1.979924,.490903,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763525010854","249636337010854","",2004,78,1,10,157,2,2,1,153,5.8,,1,8743,54,1.1,1,9,1,9,3,40,3,,,,,,,,,,,3.0724,,,,,,,,,,,,,,,,,,0,,,50,2,4,1,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,5.4,,,,,1.1,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,1.714474,,.491275,.857237,.245638,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763526010854","249636337010854","",2004,78,1,10,157,2,3,1,167,6.1,,1,8743,54,1.1,1,9,1,9,3,25,3,,,,,,,,,,,3.0724,,,,,,,,,,,,,,,,,,0,,,35,2,5,1,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,3.6,,,,,1.1,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,1.714474,,.491275,.857237,.245638,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763527010854","249636337010854","",2004,78,1,10,157,2,4,1,168,6.6,,1,8743,54,1.2,1,8,1,8,3,50,3,,,,,,,,,,,3.0724,,,,,,,,,,,,,,,,,,0,,,70,2,4,1,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,4.7,,,,,1.2,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,2.183124,,.595117,1.091562,.297559,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763528010854","249636337010854","",2004,78,1,10,157,2,5,1,208,3.9,,1,8743,54,1.1,1,7,1,7,3,20,4,,,,,,,,,,,1.5362,,,,,,,,,,,,,,,,,,0,,,50,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,2,,,,,1.1,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,1.714474,,.491275,.857237,.245638,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249763529010854","249636337010854","",2004,78,1,10,157,2,6,1,208,3.9,,1,8743,54,1.5,1,7,1,7,3,20,4,,,,,,,,,,,1.5362,,,,,,,,,,,,,,,,,,0,,,20,3,1,2,0,0,0,,,,,,,,,,,,,,,,,,"",2011-09-29,"20004","",2016-02-05,"489998",,1.8,,,,,1.5,,,,,,,,,,"",,3,,,,,,74.965282,,,,,,,3.959847,,.981805,1.979924,.490903,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
