"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","SUBPANEL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"10191304010661","10187291010661","1320614010538","",1983,50,2,5,91,1,,1983,8,0,,0,101,,,44.55561,-72.38844,,,,,,"M211Ca",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191353010661","10187291010661","1320614010538","",1983,50,2,5,92,1,,1983,8,0,,0,101,,,44.22228,-72.33288,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191407010661","10187291010661","1320614010538","",1983,50,2,5,93,1,,1983,8,0,,0,101,,,44.52783,-72.30511,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191454010661","10187291010661","1320614010538","",1983,50,2,5,94,1,,1983,8,0,,0,101,,,44.52783,-72.30511,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191503010661","10187291010661","1320614010538","",1983,50,2,5,95,1,,1983,8,0,,0,101,,,44.50005,-72.24955,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191547010661","10187291010661","1320614010538","",1983,50,2,5,96,1,,1983,8,0,,0,101,,,44.47228,-72.24955,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191625010661","10187291010661","1320614010538","",1983,50,2,5,97,1,,1983,8,0,,0,101,,,44.25006,-72.27732,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191656010661","10187291010661","1320614010538","",1983,50,2,5,98,2,,1983,8,0,,0,101,,,44.22228,-72.24954,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191658010661","10187291010661","1320614010538","",1983,50,2,5,99,1,,1983,9,0,,0,101,,,44.22228,-72.3051,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191698010661","10187291010661","1320614010538","",1983,50,2,5,100,1,,1983,8,0,,0,101,,,44.19451,-72.27732,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191704010661","10187291010661","1320614010538","",1983,50,2,5,101,1,,1983,8,0,,0,101,,,44.19451,-72.27732,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191769010661","10187291010661","1320614010538","",1983,50,2,5,102,1,,1983,8,0,,0,101,,,44.47228,-72.22177,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
"10191798010661","10187291010661","1320614010538","",1983,50,2,5,103,1,,1983,9,0,,0,101,,,44.38895,-72.19399,,,,,,"M211Ba",5000,0,,,,"",2003-09-26,"10661","",2016-02-29,"489998","",,,1,4,,"",4,0,"","",,,,,,,,
